ResourceID,Geo,Period,Label1,Label2,Label3,Value,Unit,Measure,Multiplier
CPWEE1,,2012-05-20,30 to 59,,,85,Number,Registered deaths,0
CPWEE1,,2012-05-20,60 to 79,,,177,Number,Registered deaths,0
CPWEE1,,2012-05-20,80 and over,,,285,Number,Registered deaths,0
CPWEE1,,2012-05-20,Total,,,561,Number,Registered deaths,0
CPWEE1,,2012-05-20,Under 30,,,14,Number,Registered deaths,0
CPWEE1,,2012-05-27,30 to 59,,,62,Number,Registered deaths,0
CPWEE1,,2012-05-27,60 to 79,,,177,Number,Registered deaths,0
CPWEE1,,2012-05-27,80 and over,,,272,Number,Registered deaths,0
CPWEE1,,2012-05-27,Total,,,527,Number,Registered deaths,0
CPWEE1,,2012-05-27,Under 30,,,16,Number,Registered deaths,0
CPWEE1,,2012-06-03,30 to 59,,,65,Number,Registered deaths,0
CPWEE1,,2012-06-03,60 to 79,,,185,Number,Registered deaths,0
CPWEE1,,2012-06-03,80 and over,,,339,Number,Registered deaths,0
CPWEE1,,2012-06-03,Total,,,605,Number,Registered deaths,0
CPWEE1,,2012-06-03,Under 30,,,16,Number,Registered deaths,0
CPWEE1,,2012-06-10,30 to 59,,,57,Number,Registered deaths,0
CPWEE1,,2012-06-10,60 to 79,,,190,Number,Registered deaths,0
CPWEE1,,2012-06-10,80 and over,,,299,Number,Registered deaths,0
CPWEE1,,2012-06-10,Total,,,561,Number,Registered deaths,0
CPWEE1,,2012-06-10,Under 30,,,15,Number,Registered deaths,0
CPWEE1,,2012-06-17,30 to 59,,,70,Number,Registered deaths,0
